signature,maxTargetSdk,presentAfter,publicAlternatives,returnType,trackingBug
|Ljava/nio/ByteBuffer;->position(I)Ljava/nio/ByteBuffer;|,||,|28|,||,|Ljava/nio/ByteBuffer;|,||
|Ljava/nio/ByteBuffer;->reset()Ljava/nio/ByteBuffer;|,||,|28|,||,|Ljava/nio/ByteBuffer;|,||
|Ljava/nio/ByteBuffer;->rewind()Ljava/nio/ByteBuffer;|,||,|28|,||,|Ljava/nio/ByteBuffer;|,||
|Ljava/nio/CharBuffer;->clear()Ljava/nio/CharBuffer;|,||,|28|,||,|Ljava/nio/CharBuffer;|,||
|Ljava/nio/CharBuffer;->flip()Ljava/nio/CharBuffer;|,||,|28|,||,|Ljava/nio/CharBuffer;|,||
|Ljava/nio/CharBuffer;->limit(I)Ljava/nio/CharBuffer;|,||,|28|,||,|Ljava/nio/CharBuffer;|,||
|Ljava/nio/CharBuffer;->mark()Ljava/nio/CharBuffer;|,||,|28|,||,|Ljava/nio/CharBuffer;|,||
|Ljava/nio/CharBuffer;->position(I)Ljava/nio/CharBuffer;|,||,|28|,||,|Ljava/nio/CharBuffer;|,||
|Ljava/nio/CharBuffer;->reset()Ljava/nio/CharBuffer;|,||,|28|,||,|Ljava/nio/CharBuffer;|,||
|Ljava/nio/CharBuffer;->rewind()Ljava/nio/CharBuffer;|,||,|28|,||,|Ljava/nio/CharBuffer;|,||
|Ljava/nio/CharBuffer;->toString(II)Ljava/lang/String;|,|30|,||,||,||,|170729553|
|Ljava/nio/DirectByteBuffer;-><init>(JI)V|,|30|,||,||,||,|170729553|
|Ljava/nio/DirectByteBuffer;->cleaner()Lsun/misc/Cleaner;|,||,||,||,||,||
|Ljava/nio/DoubleBuffer;->clear()Ljava/nio/DoubleBuffer;|,||,|28|,||,|Ljava/nio/DoubleBuffer;|,||
|Ljava/nio/DoubleBuffer;->flip()Ljava/nio/DoubleBuffer;|,||,|28|,||,|Ljava/nio/DoubleBuffer;|,||
|Ljava/nio/DoubleBuffer;->limit(I)Ljava/nio/DoubleBuffer;|,||,|28|,||,|Ljava/nio/DoubleBuffer;|,||
|Ljava/nio/DoubleBuffer;->mark()Ljava/nio/DoubleBuffer;|,||,|28|,||,|Ljava/nio/DoubleBuffer;|,||
|Ljava/nio/DoubleBuffer;->position(I)Ljava/nio/DoubleBuffer;|,||,|28|,||,|Ljava/nio/DoubleBuffer;|,||
|Ljava/nio/DoubleBuffer;->reset()Ljava/nio/DoubleBuffer;|,||,|28|,||,|Ljava/nio/DoubleBuffer;|,||
|Ljava/nio/DoubleBuffer;->rewind()Ljava/nio/DoubleBuffer;|,||,|28|,||,|Ljava/nio/DoubleBuffer;|,||
|Ljava/nio/FloatBuffer;->clear()Ljava/nio/FloatBuffer;|,||,|28|,||,|Ljava/nio/FloatBuffer;|,||
|Ljava/nio/FloatBuffer;->flip()Ljava/nio/FloatBuffer;|,||,|28|,||,|Ljava/nio/FloatBuffer;|,||
|Ljava/nio/FloatBuffer;->limit(I)Ljava/nio/FloatBuffer;|,||,|28|,||,|Ljava/nio/FloatBuffer;|,||
|Ljava/nio/FloatBuffer;->mark()Ljava/nio/FloatBuffer;|,||,|28|,||,|Ljava/nio/FloatBuffer;|,||
|Ljava/nio/FloatBuffer;->position(I)Ljava/nio/FloatBuffer;|,||,|28|,||,|Ljava/nio/FloatBuffer;|,||
|Ljava/nio/FloatBuffer;->reset()Ljava/nio/FloatBuffer;|,||,|28|,||,|Ljava/nio/FloatBuffer;|,||
|Ljava/nio/FloatBuffer;->rewind()Ljava/nio/FloatBuffer;|,||,|28|,||,|Ljava/nio/FloatBuffer;|,||
|Ljava/nio/IntBuffer;->clear()Ljava/nio/IntBuffer;|,||,|28|,||,|Ljava/nio/IntBuffer;|,||
|Ljava/nio/IntBuffer;->flip()Ljava/nio/IntBuffer;|,||,|28|,||,|Ljava/nio/IntBuffer;|,||
|Ljava/nio/IntBuffer;->limit(I)Ljava/nio/IntBuffer;|,||,|28|,||,|Ljava/nio/IntBuffer;|,||
|Ljava/nio/IntBuffer;->mark()Ljava/nio/IntBuffer;|,||,|28|,||,|Ljava/nio/IntBuffer;|,||
|Ljava/nio/IntBuffer;->position(I)Ljava/nio/IntBuffer;|,||,|28|,||,|Ljava/nio/IntBuffer;|,||
|Ljava/nio/IntBuffer;->reset()Ljava/nio/IntBuffer;|,||,|28|,||,|Ljava/nio/IntBuffer;|,||
|Ljava/nio/IntBuffer;->rewind()Ljava/nio/IntBuffer;|,||,|28|,||,|Ljava/nio/IntBuffer;|,||
|Ljava/nio/LongBuffer;->clear()Ljava/nio/LongBuffer;|,||,|28|,||,|Ljava/nio/LongBuffer;|,||
|Ljava/nio/LongBuffer;->flip()Ljava/nio/LongBuffer;|,||,|28|,||,|Ljava/nio/LongBuffer;|,||
|Ljava/nio/LongBuffer;->limit(I)Ljava/nio/LongBuffer;|,||,|28|,||,|Ljava/nio/LongBuffer;|,||
|Ljava/nio/LongBuffer;->mark()Ljava/nio/LongBuffer;|,||,|28|,||,|Ljava/nio/LongBuffer;|,||
|Ljava/nio/LongBuffer;->position(I)Ljava/nio/LongBuffer;|,||,|28|,||,|Ljava/nio/LongBuffer;|,||
|Ljava/nio/LongBuffer;->reset()Ljava/nio/LongBuffer;|,||,|28|,||,|Ljava/nio/LongBuffer;|,||
|Ljava/nio/LongBuffer;->rewind()Ljava/nio/LongBuffer;|,||,|28|,||,|Ljava/nio/LongBuffer;|,||
|Ljava/nio/NIOAccess;->getBaseArray(Ljava/nio/Buffer;)Ljava/lang/Object;|,||,||,||,||,||
|Ljava/nio/NIOAccess;->getBaseArrayOffset(Ljava/nio/Buffer;)I|,||,||,||,||,||
|Ljava/nio/NIOAccess;->getBasePointer(Ljava/nio/Buffer;)J|,||,||,||,||,||
|Ljava/nio/NioUtils;->freeDirectBuffer(Ljava/nio/ByteBuffer;)V|,||,||,||,||,||
|Ljava/nio/NioUtils;->unsafeArray(Ljava/nio/ByteBuffer;)[B|,||,||,||,||,||
|Ljava/nio/NioUtils;->unsafeArrayOffset(Ljava/nio/ByteBuffer;)I|,||,||,||,||,||
|Ljava/nio/ShortBuffer;->clear()Ljava/nio/ShortBuffer;|,||,|28|,||,|Ljava/nio/ShortBuffer;|,||
|Ljava/nio/ShortBuffer;->flip()Ljava/nio/ShortBuffer;|,||,|28|,||,|Ljava/nio/ShortBuffer;|,||
|Ljava/nio/ShortBuffer;->limit(I)Ljava/nio/ShortBuffer;|,||,|28|,||,|Ljava/nio/ShortBuffer;|,||
|Ljava/nio/ShortBuffer;->mark()Ljava/nio/ShortBuffer;|,||,|28|,||,|Ljava/nio/ShortBuffer;|,||
|Ljava/nio/ShortBuffer;->position(I)Ljava/nio/ShortBuffer;|,||,|28|,||,|Ljava/nio/ShortBuffer;|,||
|Ljava/nio/ShortBuffer;->reset()Ljava/nio/ShortBuffer;|,||,|28|,||,|Ljava/nio/ShortBuffer;|,||
|Ljava/nio/ShortBuffer;->rewind()Ljava/nio/ShortBuffer;|,||,|28|,||,|Ljava/nio/ShortBuffer;|,||
|Ljava/nio/charset/Charset;->defaultCharset:Ljava/nio/charset/Charset;|,|30|,||,||,||,|170729553|
|Ljava/nio/charset/CharsetEncoder;->canEncode(Ljava/nio/CharBuffer;)Z|,|30|,||,||,||,|170729553|
|Ljava/nio/file/FileTreeWalker;->followLinks:Z|,|30|,||,||,||,|170729553|
|Ljava/nio/file/FileTreeWalker;->linkOptions:[Ljava/nio/file/LinkOption;|,|30|,||,||,||,|170729553|
|Ljava/nio/file/FileTreeWalker;->maxDepth:I|,|30|,||,||,||,|170729553|
|Ljava/security/KeyPairGenerator;->getInstance(Lsun/security/jca/GetInstance$Instance;Ljava/lang/String;)Ljava/security/KeyPairGenerator;|,|30|,||,||,||,|170729553|
|Ljava/security/KeyStore;->keyStoreSpi:Ljava/security/KeyStoreSpi;|,||,||,||,||,||
|Ljava/security/Signature;->getInstance(Lsun/security/jca/GetInstance$Instance;Ljava/lang/String;)Ljava/security/Signature;|,||,||,||,||,||
|Ljava/security/spec/ECParameterSpec;->getCurveName()Ljava/lang/String;|,||,||,||,||,||
|Ljava/security/spec/ECParameterSpec;->setCurveName(Ljava/lang/String;)V|,||,||,||,||,||
|Ljava/text/Collator;->icuColl:Landroid/icu/text/Collator;|,||,||,||,||,||
|Ljava/text/DateFormat;->is24Hour:Ljava/lang/Boolean;|,||,||,||,||,||
|Ljava/text/DecimalFormatSymbols;->getPercentString()Ljava/lang/String;|,|30|,||,||,||,|170729553|
|Ljava/text/NumberFormat;->getInstance(Ljava/util/Locale;I)Ljava/text/NumberFormat;|,|30|,||,||,||,|170729553|
|Ljava/time/Duration;->toSeconds()Ljava/math/BigDecimal;|,||,||,||,||,|172313849|
|Ljava/time/LocalDate;->getEra()Ljava/time/chrono/IsoEra;|,||,|33|,||,|Ljava/time/chrono/IsoEra;|,||
|Ljava/time/OffsetDateTime;-><init>(Ljava/time/LocalDateTime;Ljava/time/ZoneOffset;)V|,|30|,||,||,||,|170729553|
|Ljava/time/ZoneId;->of(Ljava/lang/String;Z)Ljava/time/ZoneId;|,|30|,||,||,||,|170729553|
|Ljava/util/ArrayDeque;->elements:[Ljava/lang/Object;|,||,||,||,||,||
|Ljava/util/ArrayDeque;->head:I|,||,||,||,||,||
|Ljava/util/ArrayDeque;->tail:I|,||,||,||,||,||
|Ljava/util/ArrayList$SubList;->offset:I|,|30|,||,||,||,|170729553|
|Ljava/util/ArrayList$SubList;->parent:Ljava/util/AbstractList;|,||,||,||,||,||
|Ljava/util/ArrayList$SubList;->parentOffset:I|,||,||,||,||,||
|Ljava/util/ArrayList$SubList;->size:I|,||,||,|Please update to a current version of the {@code Streamsupport} library; older versions of {@code Streamsupport} do not support current versions of Android.|,||,||
|Ljava/util/ArrayList;->elementData:[Ljava/lang/Object;|,||,||,||,||,||
|Ljava/util/ArrayList;->size:I|,||,||,||,||,||
|Ljava/util/Arrays$ArrayList;->a:[Ljava/lang/Object;|,||,||,||,||,||
|Ljava/util/Arrays;->deepToString([Ljava/lang/Object;Ljava/lang/StringBuilder;Ljava/util/Set;)V|,||,||,||,||,||
|Ljava/util/Calendar;->zone:Ljava/util/TimeZone;|,||,||,||,||,||
|Ljava/util/Collections$EmptyList;-><init>()V|,||,||,||,||,||
|Ljava/util/Collections$EmptyMap;-><init>()V|,||,||,||,||,||
|Ljava/util/Collections$SynchronizedCollection;->c:Ljava/util/Collection;|,||,||,||,||,||
|Ljava/util/Collections$SynchronizedList;->list:Ljava/util/List;|,||,||,||,||,||
|Ljava/util/Collections$SynchronizedMap;->m:Ljava/util/Map;|,||,||,||,||,||
|Ljava/util/Collections$UnmodifiableCollection;->c:Ljava/util/Collection;|,||,||,||,||,||
|Ljava/util/Collections$UnmodifiableMap;->m:Ljava/util/Map;|,||,||,||,||,||
|Ljava/util/EnumMap;->keyType:Ljava/lang/Class;|,||,||,||,||,||
|Ljava/util/EnumSet;->elementType:Ljava/lang/Class;|,||,||,||,||,||
|Ljava/util/HashMap$EntryIterator;->next()Ljava/util/Map$Entry;|,||,||,||,||,|122551864|
|Ljava/util/HashMap$Node;->key:Ljava/lang/Object;|,|30|,||,||,||,|170729553|
|Ljava/util/HashMap$Node;->next:Ljava/util/HashMap$Node;|,|30|,||,||,||,|170729553|
|Ljava/util/HashMap$Node;->value:Ljava/lang/Object;|,|30|,||,||,||,|170729553|
|Ljava/util/HashMap;->modCount:I|,||,||,||,||,||
|Ljava/util/HashMap;->table:[Ljava/util/HashMap$Node;|,||,||,||,||,||
|Ljava/util/HashSet;->map:Ljava/util/HashMap;|,||,||,||,||,||
|Ljava/util/LinkedHashMap;->accessOrder:Z|,|30|,||,||,||,|170729553|
|Ljava/util/LinkedHashMap;->eldest()Ljava/util/Map$Entry;|,||,||,||,||,||
|Ljava/util/LinkedList$Node;->item:Ljava/lang/Object;|,||,||,||,||,||
|Ljava/util/LinkedList$Node;->next:Ljava/util/LinkedList$Node;|,||,||,||,||,||
|Ljava/util/LinkedList;->first:Ljava/util/LinkedList$Node;|,||,||,||,||,||
|Ljava/util/LinkedList;->size:I|,||,||,||,||,||
|Ljava/util/Locale;->createConstant(Ljava/lang/String;Ljava/lang/String;)Ljava/util/Locale;|,||,||,||,||,||
|Ljava/util/Locale;->getInstance(Lsun/util/locale/BaseLocale;Lsun/util/locale/LocaleExtensions;)Ljava/util/Locale;|,||,||,||,||,||
|Ljava/util/PriorityQueue;->modCount:I|,||,||,||,||,||
|Ljava/util/PriorityQueue;->queue:[Ljava/lang/Object;|,||,||,||,||,||
|Ljava/util/PriorityQueue;->size:I|,||,||,||,||,||
|Ljava/util/Properties;->saveConvert(Ljava/lang/String;ZZ)Ljava/lang/String;|,||,||,||,||,||
|Ljava/util/Random;->seedUniquifier()J|,||,||,||,||,|172313849|
|Ljava/util/TimerTask;->period:J|,||,||,||,||,||
|Ljava/util/UUID;->leastSigBits:J|,|30|,||,||,||,|170729553|
|Ljava/util/UUID;->mostSigBits:J|,|30|,||,||,||,|170729553|
|Ljava/util/Vector;->elementData(I)Ljava/lang/Object;|,|30|,||,||,||,|170729553|
|Ljava/util/concurrent/ConcurrentHashMap;->keySet()Ljava/util/concurrent/ConcurrentHashMap$KeySetView;|,||,|28|,||,|Ljava/util/concurrent/ConcurrentHashMap$KeySetView;|,||
|Ljava/util/concurrent/CopyOnWriteArrayList;->elements:[Ljava/lang/Object;|,||,||,||,||,||
|Ljava/util/concurrent/CopyOnWriteArraySet;->al:Ljava/util/concurrent/CopyOnWriteArrayList;|,||,||,||,||,||
|Ljava/util/concurrent/Executors$RunnableAdapter;->task:Ljava/lang/Runnable;|,||,||,||,||,||
|Ljava/util/concurrent/FutureTask;->EXCEPTIONAL:I|,||,||,||,||,||
|Ljava/util/concurrent/FutureTask;->callable:Ljava/util/concurrent/Callable;|,||,||,||,||,||
|Ljava/util/concurrent/FutureTask;->outcome:Ljava/lang/Object;|,||,||,||,||,||
|Ljava/util/concurrent/FutureTask;->state:I|,||,||,||,||,||
|Ljava/util/concurrent/LinkedBlockingDeque;->first:Ljava/util/concurrent/LinkedBlockingDeque$Node;|,||,||,||,||,||
|Ljava/util/concurrent/LinkedBlockingDeque;->lock:Ljava/util/concurrent/locks/ReentrantLock;|,||,||,||,||,||
|Ljava/util/concurrent/LinkedBlockingQueue;->capacity:I|,||,||,||,||,||
|Ljava/util/concurrent/LinkedBlockingQueue;->head:Ljava/util/concurrent/LinkedBlockingQueue$Node;|,||,||,||,||,||
|Ljava/util/concurrent/LinkedBlockingQueue;->putLock:Ljava/util/concurrent/locks/ReentrantLock;|,||,||,||,||,||
|Ljava/util/concurrent/LinkedBlockingQueue;->takeLock:Ljava/util/concurrent/locks/ReentrantLock;|,||,||,||,||,||
|Ljava/util/concurrent/PriorityBlockingQueue;->dequeue()Ljava/lang/Object;|,||,||,||,||,||
|Ljava/util/concurrent/PriorityBlockingQueue;->lock:Ljava/util/concurrent/locks/ReentrantLock;|,||,||,||,||,||
|Ljava/util/concurrent/PriorityBlockingQueue;->notEmpty:Ljava/util/concurrent/locks/Condition;|,||,||,||,||,||
|Ljava/util/concurrent/ThreadPoolExecutor;->allowCoreThreadTimeOut:Z|,|30|,||,||,||,|170729553|
|Ljava/util/concurrent/ThreadPoolExecutor;->ctl:Ljava/util/concurrent/atomic/AtomicInteger;|,||,||,||,||,||
|Ljava/util/concurrent/ThreadPoolExecutor;->defaultHandler:Ljava/util/concurrent/RejectedExecutionHandler;|,|30|,||,||,||,|170729553|
|Ljava/util/concurrent/ThreadPoolExecutor;->mainLock:Ljava/util/concurrent/locks/ReentrantLock;|,|30|,||,||,||,|170729553|
|Ljava/util/concurrent/atomic/AtomicInteger;->value:I|,||,||,||,||,||
|Ljava/util/concurrent/locks/ReentrantLock;->sync:Ljava/util/concurrent/locks/ReentrantLock$Sync;|,||,||,||,||,||
|Ljava/util/jar/JarFile;->manifest:Ljava/util/jar/Manifest;|,||,||,||,||,||
|Ljava/util/logging/Handler;->sealed:Z|,|30|,||,||,||,|170729553|
|Ljava/util/logging/LogManager;->getFormatterProperty(Ljava/lang/String;Ljava/util/logging/Formatter;)Ljava/util/logging/Formatter;|,|30|,||,||,||,|170729553|
|Ljava/util/logging/Logger;->treeLock:Ljava/lang/Object;|,||,||,||,||,||
|Ljava/util/regex/Matcher;->appendPos:I|,|30|,||,||,||,|170729553|
|Ljava/util/zip/Adler32;->update(II)I|,||,||,||,||,||
|Ljava/util/zip/CRC32;->update(II)I|,||,||,||,||,||
|Ljava/util/zip/Deflater;->buf:[B|,|30|,||,||,||,|170729553|
|Ljava/util/zip/Deflater;->finish:Z|,|30|,||,||,||,|170729553|
|Ljava/util/zip/Deflater;->finished:Z|,|30|,||,||,||,|170729553|
|Ljava/util/zip/Deflater;->len:I|,|30|,||,||,||,|170729553|
|Ljava/util/zip/Deflater;->level:I|,|30|,||,||,||,|170729553|
|Ljava/util/zip/Deflater;->off:I|,|30|,||,||,||,|170729553|
|Ljava/util/zip/Deflater;->setParams:Z|,|30|,||,||,||,|170729553|
|Ljava/util/zip/Deflater;->strategy:I|,|30|,||,||,||,|170729553|
|Ljava/util/zip/Inflater;->buf:[B|,|30|,||,||,||,|170729553|
|Ljava/util/zip/Inflater;->finished:Z|,|30|,||,||,||,|170729553|
|Ljava/util/zip/Inflater;->len:I|,|30|,||,||,||,|170729553|
|Ljava/util/zip/Inflater;->needDict:Z|,|30|,||,||,||,|170729553|
|Ljava/util/zip/Inflater;->off:I|,|30|,||,||,||,|170729553|
|Ljava/util/zip/ZipEntry;-><init>(Ljava/lang/String;Ljava/lang/String;JJJII[BJ)V|,|30|,||,||,||,|170729553|
|Ljava/util/zip/ZipEntry;->method:I|,|30|,||,||,||,|170729553|
|Ljava/util/zip/ZipFile$ZipEntryIterator;->nextElement()Ljava/util/zip/ZipEntry;|,|30|,||,||,||,|170729553|
|Ljava/util/zip/ZipFile;->close(J)V|,||,||,||,||,||
|Ljava/util/zip/ZipFile;->getEntry(J[BZ)J|,||,||,||,||,||
|Ljava/util/zip/ZipFile;->jzfile:J|,|30|,||,||,||,|170729553|
|Ljava/util/zip/ZipInputStream;->flag:I|,|30|,||,||,||,|170729553|
|Ljava/util/zip/ZipInputStream;->tmpbuf:[B|,|30|,||,||,||,|170729553|
|Ljava/util/zip/ZipOutputStream;->method:I|,|30|,||,||,||,|170729553|
|Ljava/util/zip/ZipOutputStream;->names:Ljava/util/HashSet;|,|30|,||,||,||,|170729553|
|Ljava/util/zip/ZipOutputStream;->written:J|,||,||,||,||,||
|Ljavax/net/ssl/SSLServerSocketFactory;->defaultServerSocketFactory:Ljavax/net/ssl/SSLServerSocketFactory;|,|28|,||,|Use {@link #getDefault()} to read the current default; from Android API level 21 onwards, apps should have no need to ever write this value because it is automatically recomputed when the set of {@link java.security.Provider} security providers changes.|,||,|118741276|
|Ljavax/net/ssl/SSLSocketFactory;->createSocket(Ljava/net/Socket;Ljava/io/InputStream;Z)Ljava/net/Socket;|,||,||,||,||,||
|Ljavax/net/ssl/SSLSocketFactory;->defaultSocketFactory:Ljavax/net/ssl/SSLSocketFactory;|,|28|,||,|Use {@link #getDefault()} to read the current default; from Android API level 21 onwards, apps should have no need to ever write this value because it is automatically recomputed when the set of {@link java.security.Provider} security providers changes.|,||,|118741276|
|Llibcore/icu/DateIntervalFormat;->formatDateRange(JJILjava/lang/String;)Ljava/lang/String;|,|33|,||,|Use {@code android.text.format.DateUtils#formatDateRange(Context, Formatter, long, long, int, String)} instead.|,||,||
|Llibcore/icu/ICU;->CACHED_PATTERNS:Llibcore/util/BasicLruCache;|,||,||,||,||,||
|Llibcore/icu/ICU;->addLikelySubtags(Ljava/lang/String;)Ljava/lang/String;|,||,||,||,||,||
|Llibcore/icu/ICU;->addLikelySubtags(Ljava/util/Locale;)Ljava/util/Locale;|,||,||,||,||,||
|Llibcore/icu/ICU;->getBestDateTimePattern(Ljava/lang/String;Ljava/util/Locale;)Ljava/lang/String;|,||,||,||,||,||
|Llibcore/icu/ICU;->getBestDateTimePatternNative(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;|,||,||,||,||,||
|Llibcore/icu/ICU;->getDateFormatOrder(Ljava/lang/String;)[C|,||,||,||,||,||
|Llibcore/icu/ICU;->getScript(Ljava/lang/String;)Ljava/lang/String;|,||,||,||,||,||
|Llibcore/icu/LocaleData;->firstDayOfWeek:Ljava/lang/Integer;|,||,||,||,||,||
|Llibcore/icu/LocaleData;->get(Ljava/util/Locale;)Llibcore/icu/LocaleData;|,||,||,||,||,||
|Llibcore/icu/LocaleData;->longStandAloneWeekdayNames:[Ljava/lang/String;|,||,||,||,||,||
|Llibcore/icu/LocaleData;->mapInvalidAndNullLocales(Ljava/util/Locale;)Ljava/util/Locale;|,||,||,||,||,||
|Llibcore/icu/LocaleData;->minimalDaysInFirstWeek:Ljava/lang/Integer;|,||,||,||,||,||
|Llibcore/icu/LocaleData;->shortMonthNames:[Ljava/lang/String;|,||,||,||,||,||
|Llibcore/icu/LocaleData;->shortStandAloneMonthNames:[Ljava/lang/String;|,||,||,||,||,||
|Llibcore/icu/LocaleData;->shortStandAloneWeekdayNames:[Ljava/lang/String;|,||,||,||,||,||
|Llibcore/icu/LocaleData;->timeFormat_Hm:Ljava/lang/String;|,||,||,||,||,||
|Llibcore/icu/LocaleData;->timeFormat_hm:Ljava/lang/String;|,||,||,||,||,||
|Llibcore/icu/LocaleData;->today:Ljava/lang/String;|,||,||,||,||,||
|Llibcore/icu/LocaleData;->tomorrow:Ljava/lang/String;|,||,||,||,||,||
|Llibcore/icu/LocaleData;->zeroDigit:C|,||,||,||,||,||
|Llibcore/io/AsynchronousCloseMonitor;->signalBlockedThreads(Ljava/io/FileDescriptor;)V|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;-><init>(Llibcore/io/Os;)V|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->chmod(Ljava/lang/String;I)V|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->chown(Ljava/lang/String;II)V|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->close(Ljava/io/FileDescriptor;)V|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->fchmod(Ljava/io/FileDescriptor;I)V|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->fchown(Ljava/io/FileDescriptor;II)V|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->fdatasync(Ljava/io/FileDescriptor;)V|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->fstat(Ljava/io/FileDescriptor;)Landroid/system/StructStat;|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->fstatvfs(Ljava/io/FileDescriptor;)Landroid/system/StructStatVfs;|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->lchown(Ljava/lang/String;II)V|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->link(Ljava/lang/String;Ljava/lang/String;)V|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->lseek(Ljava/io/FileDescriptor;JI)J|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->lstat(Ljava/lang/String;)Landroid/system/StructStat;|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->mkdir(Ljava/lang/String;I)V|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->mkfifo(Ljava/lang/String;I)V|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->open(Ljava/lang/String;II)Ljava/io/FileDescriptor;|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->posix_fallocate(Ljava/io/FileDescriptor;JJ)V|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->pread(Ljava/io/FileDescriptor;Ljava/nio/ByteBuffer;J)I|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->pread(Ljava/io/FileDescriptor;[BIIJ)I|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->pwrite(Ljava/io/FileDescriptor;Ljava/nio/ByteBuffer;J)I|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->pwrite(Ljava/io/FileDescriptor;[BIIJ)I|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->read(Ljava/io/FileDescriptor;Ljava/nio/ByteBuffer;)I|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->read(Ljava/io/FileDescriptor;[BII)I|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->readlink(Ljava/lang/String;)Ljava/lang/String;|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->readv(Ljava/io/FileDescriptor;[Ljava/lang/Object;[I[I)I|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->realpath(Ljava/lang/String;)Ljava/lang/String;|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->remove(Ljava/lang/String;)V|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->rename(Ljava/lang/String;Ljava/lang/String;)V|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->stat(Ljava/lang/String;)Landroid/system/StructStat;|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->statvfs(Ljava/lang/String;)Landroid/system/StructStatVfs;|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->symlink(Ljava/lang/String;Ljava/lang/String;)V|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->write(Ljava/io/FileDescriptor;Ljava/nio/ByteBuffer;)I|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->write(Ljava/io/FileDescriptor;[BII)I|,||,||,||,||,||
|Llibcore/io/BlockGuardOs;->writev(Ljava/io/FileDescriptor;[Ljava/lang/Object;[I[I)I|,||,||,||,||,||
|Llibcore/io/BufferIterator;->readByte()B|,||,||,||,||,||
|Llibcore/io/BufferIterator;->readByteArray([BII)V|,||,||,||,||,||
|Llibcore/io/BufferIterator;->readInt()I|,||,||,||,||,||
|Llibcore/io/BufferIterator;->readIntArray([III)V|,||,||,||,||,||
|Llibcore/io/BufferIterator;->seek(I)V|,||,||,||,||,||
|Llibcore/io/BufferIterator;->skip(I)V|,||,||,||,||,||
|Llibcore/io/ForwardingOs;-><init>(Llibcore/io/Os;)V|,||,||,||,||,||
|Llibcore/io/ForwardingOs;->access(Ljava/lang/String;I)Z|,||,||,||,||,||
|Llibcore/io/ForwardingOs;->chmod(Ljava/lang/String;I)V|,||,||,||,||,||
|Llibcore/io/ForwardingOs;->chown(Ljava/lang/String;II)V|,||,||,||,||,||
|Llibcore/io/ForwardingOs;->getenv(Ljava/lang/String;)Ljava/lang/String;|,||,||,||,||,||
|Llibcore/io/ForwardingOs;->lchown(Ljava/lang/String;II)V|,||,||,||,||,||
|Llibcore/io/ForwardingOs;->link(Ljava/lang/String;Ljava/lang/String;)V|,||,||,||,||,||
|Llibcore/io/ForwardingOs;->lstat(Ljava/lang/String;)Landroid/system/StructStat;|,||,||,||,||,||
|Llibcore/io/ForwardingOs;->mkdir(Ljava/lang/String;I)V|,||,||,||,||,||
|Llibcore/io/ForwardingOs;->mkfifo(Ljava/lang/String;I)V|,||,||,||,||,||
|Llibcore/io/ForwardingOs;->open(Ljava/lang/String;II)Ljava/io/FileDescriptor;|,||,||,||,||,||
|Llibcore/io/ForwardingOs;->os:Llibcore/io/Os;|,||,||,||,||,||
|Llibcore/io/ForwardingOs;->readlink(Ljava/lang/String;)Ljava/lang/String;|,||,||,||,||,||
|Llibcore/io/ForwardingOs;->remove(Ljava/lang/String;)V|,||,||,||,||,||
|Llibcore/io/ForwardingOs;->removexattr(Ljava/lang/String;Ljava/lang/String;)V|,||,||,||,||,||
|Llibcore/io/ForwardingOs;->rename(Ljava/lang/String;Ljava/lang/String;)V|,||,||,||,||,||
