Landroid/provider/AsyncContentProvider$$ExternalSyntheticLambda0;->onResult(Landroid/os/Bundle;)V,sdk,system-api,test-api
Landroid/provider/MediaStore;->QUERY_ARG_MATCH_TRASHED:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->QUERY_ARG_RELATED_URI:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->TAG:Ljava/lang/String;,lo-prio,max-target-o
Landroid/provider/MediaStore;->UNKNOWN_STRING:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->VOLUME_EXTERNAL:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->VOLUME_EXTERNAL_PRIMARY:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->VOLUME_INTERNAL:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->canManageMedia(Landroid/content/Context;)Z,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->createDeleteRequest(Landroid/content/ContentResolver;Ljava/util/Collection;)Landroid/app/PendingIntent;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->createFavoriteRequest(Landroid/content/ContentResolver;Ljava/util/Collection;Z)Landroid/app/PendingIntent;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->createTrashRequest(Landroid/content/ContentResolver;Ljava/util/Collection;Z)Landroid/app/PendingIntent;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->createWriteRequest(Landroid/content/ContentResolver;Ljava/util/Collection;)Landroid/app/PendingIntent;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->getDocumentUri(Landroid/content/Context;Landroid/net/Uri;)Landroid/net/Uri;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->getExternalVolumeNames(Landroid/content/Context;)Ljava/util/Set;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->getGeneration(Landroid/content/Context;Ljava/lang/String;)J,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->getMediaScannerUri()Landroid/net/Uri;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->getMediaUri(Landroid/content/Context;Landroid/net/Uri;)Landroid/net/Uri;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->getOriginalMediaFormatFileDescriptor(Landroid/content/Context;Landroid/os/ParcelFileDescriptor;)Landroid/os/ParcelFileDescriptor;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->getPickImagesMaxLimit()I,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->getRecentExternalVolumeNames(Landroid/content/Context;)Ljava/util/Set;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->getRedactedUri(Landroid/content/ContentResolver;Landroid/net/Uri;)Landroid/net/Uri;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->getRedactedUri(Landroid/content/ContentResolver;Ljava/util/List;)Ljava/util/List;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->getRequireOriginal(Landroid/net/Uri;)Z,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->getVersion(Landroid/content/Context;)Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->getVersion(Landroid/content/Context;Ljava/lang/String;)Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->getVolumeName(Landroid/net/Uri;)Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->isCurrentCloudMediaProviderAuthority(Landroid/content/ContentResolver;Ljava/lang/String;)Z,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->isCurrentSystemGallery(Landroid/content/ContentResolver;ILjava/lang/String;)Z,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->isSupportedCloudMediaProviderAuthority(Landroid/content/ContentResolver;Ljava/lang/String;)Z,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->notifyCloudMediaChangedEvent(Landroid/content/ContentResolver;Ljava/lang/String;Ljava/lang/String;)V,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->rewriteToLegacy(Landroid/net/Uri;)Landroid/net/Uri;,sdk,system-api,test-api
Landroid/provider/MediaStore;->scanFile(Landroid/content/ContentResolver;Ljava/io/File;)Landroid/net/Uri;,sdk,system-api,test-api
Landroid/provider/MediaStore;->scanVolume(Landroid/content/ContentResolver;Ljava/lang/String;)V,sdk,system-api,test-api
Landroid/provider/MediaStore;->setIncludePending(Landroid/net/Uri;)Landroid/net/Uri;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->setRequireOriginal(Landroid/net/Uri;)Landroid/net/Uri;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->waitForIdle(Landroid/content/ContentResolver;)V,sdk,system-api,test-api
